data,AC,AM,AP,PA,RO,RR,TO,AL,CE,BA,PE,PB,SE,RN,PI,MA,DF,GO,MS,MT,RJ,SP,ES,MG,RS,SC,PR,Soma,Brasil/MS
26/02/2020,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1
27/02/2020,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1
28/02/2020,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1
29/02/2020,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,2
01/03/2020,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,2
02/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2
03/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3
04/03/2020,,,,,,,,,,,,,,,,,,,,,,3,,,,,,3,8
05/03/2020,,,,,,,,,,,,,,,,,1,,,,1,6,1,,,,,9,13
06/03/2020,,,,,,,,,,1,,,,,,,,,,,1,10,,,,,,12,13
07/03/2020,,,,,,,,,,2,,,,,,,,,,,2,13,,,,,,17,19
08/03/2020,,,,,,,,1,,2,,,,,,,,,,,3,16,,1,,,,23,25
09/03/2020,,,,,,,,1,,2,,,,,,,,,,,8,16,,1,,,,28,30
10/03/2020,,,,,,,,1,,2,,,,,,,,,,,8,19,,1,1,,,32,34
11/03/2020,,,,,,,,1,,3,,,,,,,2,,,,13,30,,1,2,,,52,52
12/03/2020,,,,,,,,1,2,3,2,,,,,,,3,,,16,46,2,2,4,2,6,89,77
13/03/2020,,1,,,,,,1,2,7,2,,,1,,,,,,,16,56,,2,6,3,6,103,98
14/03/2020,,,,,,,,1,7,7,7,,1,1,,,8,,2,,22,65,,4,7,5,,137,121
15/03/2020,,,,,,,,1,3,9,8,,1,1,,,14,,2,,24,136,4,,,6,,209,191
16/03/2020,,,,,,,,1,9,10,18,,5,1,,,19,9,4,,31,152,8,6,11,,6,290,234
17/03/2020,3,,,,,,,1,11,14,19,,5,1,,,21,,6,,33,164,,14,11,7,12,322,290
18/03/2020,,2,,1,,,1,1,20,18,22,1,6,1,0,,34,12,7,,63,240,11,19,19,,14,492,428
19/03/2020,4,,,2,1,,,4,24,31,28,1,6,1,3,,42,15,9,1,64,286,13,29,31,21,23,639,621
20/03/2020,7,7,,,1,,,6,68,34,31,1,7,6,4,1,87,18,12,1,109,396,16,38,41,,36,927,904
21/03/2020,11,11,1,2,3,2,2,7,84,41,33,1,10,9,4,2,112,20,16,2,119,459,26,55,69,57,43,1201,1128
22/03/2020,11,26,1,4,3,2,5,7,125,55,37,1,10,9,6,2,131,21,21,2,186,631,26,83,77,68,54,1604,1546
23/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
